"GFH05524"	"HaLaN_00001"
"GFH11660"	"HaLaN_07194"
"GFH11661"	"HaLaN_07195"
"HaLaN_07197"	"HaLaN_07196"
"GFH11662"	"HaLaN_07197"
"GFH11663"	"HaLaN_07198"
"GFH11664"	"HaLaN_07199"
"GFH11665"	"HaLaN_07200"
"GFH11666"	"HaLaN_07201"
"HaLaN_07203"	"HaLaN_07202"
"GFH11667"	"HaLaN_07203"
"GFH11668"	"HaLaN_07204"
"GFH11669"	"HaLaN_07205"
"GFH11670"	"HaLaN_07206"
"GFH11671"	"HaLaN_07207"
"HaLaN_07209"	"HaLaN_07208"
"HaLaN_07210"	"HaLaN_07209"
"GFH11672"	"HaLaN_07210"
"GFH11673"	"HaLaN_07211"
"GFH11674"	"HaLaN_07212"
"HaLaN_07214"	"HaLaN_07213"
"GFH11675"	"HaLaN_07214"
"GFH11676"	"HaLaN_07215"
"GFH11677"	"HaLaN_07216"
"GFH11678"	"HaLaN_07217"
"GFH11679"	"HaLaN_07218"
"GFH11680"	"HaLaN_07219"
"GFH11681"	"HaLaN_07220"
"GFH11682"	"HaLaN_07221"
"GFH11683"	"HaLaN_07222"
"GFH11684"	"HaLaN_07223"
"GFH11685"	"HaLaN_07224"
"HaLaN_07226"	"HaLaN_07225"
"GFH11686"	"HaLaN_07226"
"GFH11687"	"HaLaN_07227"
"GFH11688"	"HaLaN_07228"
"GFH11689"	"HaLaN_07229"
"GFH11690"	"HaLaN_07230"
"HaLaN_07232"	"HaLaN_07231"
"GFH11691"	"HaLaN_07232"
"HaLaN_07234"	"HaLaN_07233"
"HaLaN_07235"	"HaLaN_07234"
"GFH11692"	"HaLaN_07235"
"GFH11693"	"HaLaN_07236"
"HaLaN_07238"	"HaLaN_07237"
"GFH11694"	"HaLaN_07238"
"GFH11695"	"HaLaN_07239"
"GFH11696"	"HaLaN_07240"
"GFH11697"	"HaLaN_07241"
"GFH11698"	"HaLaN_07242"
"GFH11699"	"HaLaN_07243"
"GFH11700"	"HaLaN_07244"
"GFH11701"	"HaLaN_07245"
"HaLaN_07247"	"HaLaN_07246"
"GFH11702"	"HaLaN_07247"
"GFH11703"	"HaLaN_07248"
"GFH11704"	"HaLaN_07249"
"GFH11705"	"HaLaN_07250"
"GFH11706"	"HaLaN_07251"
"GFH11707"	"HaLaN_07252"
"GFH11708"	"HaLaN_07253"
"GFH11709"	"HaLaN_07254"
"GFH11710"	"HaLaN_07255"
"GFH11711"	"HaLaN_07256"
"GFH11712"	"HaLaN_07257"
"GFH11713"	"HaLaN_07258"
"GFH11714"	"HaLaN_07259"
"GFH11715"	"HaLaN_07260"
"GFH11716"	"HaLaN_07261"
"GFH11717"	"HaLaN_07262"
"HaLaN_07264"	"HaLaN_07263"
"GFH11718"	"HaLaN_07264"
"GFH11719"	"HaLaN_07265"
"GFH11720"	"HaLaN_07266"
"GFH11721"	"HaLaN_07267"
"GFH11722"	"HaLaN_07268"
"GFH11723"	"HaLaN_07269"
"GFH11724"	"HaLaN_07270"
"GFH11725"	"HaLaN_07271"
"GFH11726"	"HaLaN_07272"
"GFH11727"	"HaLaN_07273"
"GFH11728"	"HaLaN_07274"
"GFH11729"	"HaLaN_07275"
"GFH11730"	"HaLaN_07276"
"HaLaN_07278"	"HaLaN_07277"
"HaLaN_07279"	"HaLaN_07278"
"GFH11731"	"HaLaN_07279"
"GFH11732"	"HaLaN_07280"
"GFH11733"	"HaLaN_07281"
"GFH11734"	"HaLaN_07282"
"HaLaN_07284"	"HaLaN_07283"
"GFH11735"	"HaLaN_07284"
"GFH11736"	"HaLaN_07285"
"GFH11737"	"HaLaN_07286"
"GFH11738"	"HaLaN_07287"
"HaLaN_07289"	"HaLaN_07288"
"GFH11739"	"HaLaN_07289"
"GFH11740"	"HaLaN_07290"
"GFH11741"	"HaLaN_07291"
"GFH11742"	"HaLaN_07292"
"HaLaN_07294"	"HaLaN_07293"
"GFH11743"	"HaLaN_07294"
"GFH11744"	"HaLaN_07295"
"GFH11745"	"HaLaN_07296"
"GFH11746"	"HaLaN_07297"
"GFH11747"	"HaLaN_07298"
"HaLaN_07300"	"HaLaN_07299"
"GFH11748"	"HaLaN_07300"
"GFH11749"	"HaLaN_07301"
"GFH11750"	"HaLaN_07302"
"HaLaN_07304"	"HaLaN_07303"
"GFH11751"	"HaLaN_07304"
"GFH11752"	"HaLaN_07305"
"GFH11753"	"HaLaN_07306"
"GFH11754"	"HaLaN_07307"
"GFH11755"	"HaLaN_07308"
"HaLaN_07310"	"HaLaN_07309"
"GFH11756"	"HaLaN_07310"
"GFH11757"	"HaLaN_07311"
"HaLaN_07313"	"HaLaN_07312"
"GFH11758"	"HaLaN_07313"
"GFH11759"	"HaLaN_07314"
"GFH11760"	"HaLaN_07315"
"GFH11761"	"HaLaN_07316"
"GFH11762"	"HaLaN_07317"
"HaLaN_07319"	"HaLaN_07318"
"GFH11763"	"HaLaN_07319"
"GFH11764"	"HaLaN_07320"
"GFH11765"	"HaLaN_07321"
"GFH11766"	"HaLaN_07322"
"GFH11767"	"HaLaN_07323"
"GFH11768"	"HaLaN_07324"
"GFH11769"	"HaLaN_07325"
"GFH11770"	"HaLaN_07326"
"GFH11771"	"HaLaN_07327"
"GFH11772"	"HaLaN_07328"
"GFH11773"	"HaLaN_07329"
"GFH11774"	"HaLaN_07330"
"GFH11775"	"HaLaN_07331"
"GFH11776"	"HaLaN_07332"
"GFH11777"	"HaLaN_07333"
"GFH11778"	"HaLaN_07334"
"GFH11779"	"HaLaN_07335"
"GFH11780"	"HaLaN_07336"
"GFH11781"	"HaLaN_07337"
"GFH11782"	"HaLaN_07338"
"GFH11783"	"HaLaN_07339"
"GFH11784"	"HaLaN_07340"
"GFH11785"	"HaLaN_07341"
"GFH11786"	"HaLaN_07342"
"GFH11787"	"HaLaN_07343"
"GFH11788"	"HaLaN_07344"
"GFH11789"	"HaLaN_07345"
"GFH11790"	"HaLaN_07346"
"GFH11791"	"HaLaN_07347"
"GFH11792"	"HaLaN_07348"
"GFH11793"	"HaLaN_07349"
"GFH11794"	"HaLaN_07350"
"GFH11795"	"HaLaN_07351"
"HaLaN_07353"	"HaLaN_07352"
"HaLaN_07354"	"HaLaN_07353"
"GFH11796"	"HaLaN_07354"
"GFH11797"	"HaLaN_07355"
"GFH11798"	"HaLaN_07356"
"GFH11799"	"HaLaN_07357"
"HaLaN_07359"	"HaLaN_07358"
"GFH11800"	"HaLaN_07359"
"GFH11801"	"HaLaN_07360"
"GFH11802"	"HaLaN_07361"
"GFH11803"	"HaLaN_07362"
"GFH11804"	"HaLaN_07363"
"GFH11805"	"HaLaN_07364"
"GFH11806"	"HaLaN_07365"
"HaLaN_07367"	"HaLaN_07366"
"GFH11807"	"HaLaN_07367"
"GFH11808"	"HaLaN_07368"
"HaLaN_07370"	"HaLaN_07369"
"GFH11809"	"HaLaN_07370"
"GFH11810"	"HaLaN_07371"
"GFH11811"	"HaLaN_07372"
"HaLaN_07374"	"HaLaN_07373"
"GFH11812"	"HaLaN_07374"
"GFH11813"	"HaLaN_07375"
"GFH11814"	"HaLaN_07376"
"HaLaN_07378"	"HaLaN_07377"
"HaLaN_07379"	"HaLaN_07378"
"GFH11815"	"HaLaN_07379"
"GFH11816"	"HaLaN_07380"
"GFH11817"	"HaLaN_07381"
"GFH11818"	"HaLaN_07382"
"GFH11819"	"HaLaN_07383"
"HaLaN_07385"	"HaLaN_07384"
"GFH11820"	"HaLaN_07385"
"HaLaN_07387"	"HaLaN_07386"
"GFH11821"	"HaLaN_07387"
"GFH11822"	"HaLaN_07388"
"GFH11823"	"HaLaN_07389"
"GFH11824"	"HaLaN_07390"
"GFH11825"	"HaLaN_07391"
"GFH11826"	"HaLaN_07392"
"HaLaN_07394"	"HaLaN_07393"
"GFH11827"	"HaLaN_07394"
"GFH11828"	"HaLaN_07395"
"GFH11829"	"HaLaN_07396"
"GFH11830"	"HaLaN_07397"
"HaLaN_07399"	"HaLaN_07398"
"GFH11831"	"HaLaN_07399"
"GFH11832"	"HaLaN_07400"
"GFH11833"	"HaLaN_07401"
"GFH11834"	"HaLaN_07402"
"GFH11835"	"HaLaN_07403"
"HaLaN_07405"	"HaLaN_07404"
"GFH11836"	"HaLaN_07405"
"GFH11837"	"HaLaN_07406"
"GFH11838"	"HaLaN_07407"
"GFH11839"	"HaLaN_07408"
"GFH11840"	"HaLaN_07409"
"GFH11841"	"HaLaN_07410"
"GFH11842"	"HaLaN_07411"
"HaLaN_07413"	"HaLaN_07412"
"GFH11843"	"HaLaN_07413"
"GFH11844"	"HaLaN_07414"
"GFH11845"	"HaLaN_07415"
"GFH11846"	"HaLaN_07416"
"GFH11847"	"HaLaN_07417"
"GFH11848"	"HaLaN_07418"
"GFH11849"	"HaLaN_07419"
"HaLaN_07421"	"HaLaN_07420"
"GFH11850"	"HaLaN_07421"
"GFH11851"	"HaLaN_07422"
"GFH11852"	"HaLaN_07423"
"GFH11853"	"HaLaN_07424"
"GFH11854"	"HaLaN_07425"
"GFH11855"	"HaLaN_07426"
"HaLaN_07428"	"HaLaN_07427"
"GFH11856"	"HaLaN_07428"
"HaLaN_07430"	"HaLaN_07429"
"GFH11857"	"HaLaN_07430"
"GFH11858"	"HaLaN_07431"
"HaLaN_07433"	"HaLaN_07432"
"GFH11859"	"HaLaN_07433"
"GFH11860"	"HaLaN_07434"
"GFH11861"	"HaLaN_07435"
"GFH11862"	"HaLaN_07436"
"GFH11863"	"HaLaN_07437"
"GFH11864"	"HaLaN_07438"
"GFH11865"	"HaLaN_07439"
"GFH11866"	"HaLaN_07440"
"GFH11867"	"HaLaN_07441"
"GFH11868"	"HaLaN_07442"
"GFH11869"	"HaLaN_07443"
"HaLaN_07445"	"HaLaN_07444"
"GFH11870"	"HaLaN_07445"
"GFH11871"	"HaLaN_07446"
"GFH11872"	"HaLaN_07447"
"GFH11873"	"HaLaN_07448"
"GFH11874"	"HaLaN_07449"
"HaLaN_07451"	"HaLaN_07450"
"HaLaN_07452"	"HaLaN_07451"
"GFH11875"	"HaLaN_07452"
"GFH11876"	"HaLaN_07453"
"GFH11877"	"HaLaN_07454"
"GFH11878"	"HaLaN_07455"
"GFH11879"	"HaLaN_07456"
"HaLaN_07458"	"HaLaN_07457"
"GFH11880"	"HaLaN_07458"
"GFH11881"	"HaLaN_07459"
"GFH11882"	"HaLaN_07460"
"GFH11883"	"HaLaN_07461"
"GFH11884"	"HaLaN_07462"
"GFH11885"	"HaLaN_07463"
"GFH11886"	"HaLaN_07464"
"GFH11887"	"HaLaN_07465"
"GFH11888"	"HaLaN_07466"
"GFH11889"	"HaLaN_07467"
"GFH11890"	"HaLaN_07468"
"GFH11891"	"HaLaN_07469"
"GFH11892"	"HaLaN_07470"
"GFH11893"	"HaLaN_07471"
"GFH11894"	"HaLaN_07472"
"GFH11895"	"HaLaN_07473"
"GFH11896"	"HaLaN_07474"
"GFH11897"	"HaLaN_07475"
"GFH11898"	"HaLaN_07476"
"GFH11899"	"HaLaN_07477"
"GFH11900"	"HaLaN_07478"
"GFH11901"	"HaLaN_07479"
"HaLaN_07481"	"HaLaN_07480"
"HaLaN_07482"	"HaLaN_07481"
"GFH11902"	"HaLaN_07482"
"HaLaN_07484"	"HaLaN_07483"
"GFH11903"	"HaLaN_07484"
"GFH11904"	"HaLaN_07485"
"GFH11905"	"HaLaN_07486"
"HaLaN_07488"	"HaLaN_07487"
"GFH11906"	"HaLaN_07488"
"GFH11907"	"HaLaN_07489"
"GFH11908"	"HaLaN_07490"
"GFH11909"	"HaLaN_07491"
"GFH11910"	"HaLaN_07492"
"HaLaN_07494"	"HaLaN_07493"
"GFH11911"	"HaLaN_07494"
"GFH11912"	"HaLaN_07495"
"GFH11913"	"HaLaN_07496"
"HaLaN_07498"	"HaLaN_07497"
"GFH11914"	"HaLaN_07498"
"GFH11915"	"HaLaN_07499"
"HaLaN_07501"	"HaLaN_07500"
"GFH11916"	"HaLaN_07501"
"GFH11917"	"HaLaN_07502"
"GFH11918"	"HaLaN_07503"
"GFH11919"	"HaLaN_07504"
"GFH11920"	"HaLaN_07505"
"GFH11921"	"HaLaN_07506"
"GFH11922"	"HaLaN_07507"
"GFH11923"	"HaLaN_07508"
"GFH11924"	"HaLaN_07509"
"GFH11925"	"HaLaN_07510"
"GFH11926"	"HaLaN_07511"
"HaLaN_07513"	"HaLaN_07512"
"HaLaN_07514"	"HaLaN_07513"
"HaLaN_07515"	"HaLaN_07514"
"GFH11927"	"HaLaN_07515"
"GFH11928"	"HaLaN_07516"
"GFH11929"	"HaLaN_07517"
"HaLaN_07519"	"HaLaN_07518"
"GFH11930"	"HaLaN_07519"
"GFH11931"	"HaLaN_07520"
"GFH11932"	"HaLaN_07521"
"HaLaN_07523"	"HaLaN_07522"
"GFH11933"	"HaLaN_07523"
"HaLaN_07525"	"HaLaN_07524"
"GFH11934"	"HaLaN_07525"
"GFH11935"	"HaLaN_07526"
"HaLaN_07528"	"HaLaN_07527"
"HaLaN_07529"	"HaLaN_07528"
"GFH11936"	"HaLaN_07529"
"HaLaN_07531"	"HaLaN_07530"
"GFH11937"	"HaLaN_07531"
"GFH11938"	"HaLaN_07532"
"GFH11939"	"HaLaN_07533"
"GFH11940"	"HaLaN_07534"
"GFH11942"	"HaLaN_07535"
"GFH11941"	"HaLaN_07536"
"GFH11943"	"HaLaN_07537"
"GFH11944"	"HaLaN_07538"
"GFH11945"	"HaLaN_07539"
"GFH11946"	"HaLaN_07540"
"GFH11947"	"HaLaN_07541"
"HaLaN_07543"	"HaLaN_07542"
"GFH11948"	"HaLaN_07543"
"GFH11949"	"HaLaN_07544"
"GFH11950"	"HaLaN_07545"
"GFH11951"	"HaLaN_07546"
"HaLaN_07548"	"HaLaN_07547"
"GFH11952"	"HaLaN_07548"
"GFH11953"	"HaLaN_07549"
"HaLaN_07551"	"HaLaN_07550"
"GFH11954"	"HaLaN_07551"
"HaLaN_07553"	"HaLaN_07552"
"GFH11955"	"HaLaN_07553"
"HaLaN_07555"	"HaLaN_07554"
"HaLaN_07556"	"HaLaN_07555"
"GFH11956"	"HaLaN_07556"
"GFH11957"	"HaLaN_07557"
"GFH11958"	"HaLaN_07558"
"HaLaN_t00066"	"HaLaN_t00066"
"GFH11959"	"HaLaN_07559"
"HaLaN_07561"	"HaLaN_07560"
"GFH11960"	"HaLaN_07561"
"HaLaN_07563"	"HaLaN_07562"
"GFH11961"	"HaLaN_07563"
"GFH11962"	"HaLaN_07564"
"HaLaN_07566"	"HaLaN_07565"
"HaLaN_07567"	"HaLaN_07566"
"GFH11963"	"HaLaN_07567"
"GFH11964"	"HaLaN_07568"
"GFH11965"	"HaLaN_07569"
"GFH11966"	"HaLaN_07570"
"GFH11967"	"HaLaN_07571"
"GFH11968"	"HaLaN_07572"
"HaLaN_07574"	"HaLaN_07573"
"GFH11969"	"HaLaN_07574"
"GFH11970"	"HaLaN_07575"
"HaLaN_07577"	"HaLaN_07576"
"GFH11971"	"HaLaN_07577"
"GFH11972"	"HaLaN_07578"
"GFH11973"	"HaLaN_07579"
"GFH11974"	"HaLaN_07580"
"GFH11975"	"HaLaN_07581"
"GFH11976"	"HaLaN_07582"
"GFH11977"	"HaLaN_07583"
"HaLaN_07585"	"HaLaN_07584"
"GFH11978"	"HaLaN_07585"
"GFH11979"	"HaLaN_07586"
"GFH11980"	"HaLaN_07587"
"GFH11981"	"HaLaN_07588"
"GFH11982"	"HaLaN_07589"
"GFH11983"	"HaLaN_07590"
"GFH11984"	"HaLaN_07591"
"HaLaN_07593"	"HaLaN_07592"
"HaLaN_07594"	"HaLaN_07593"
"HaLaN_07595"	"HaLaN_07594"
"GFH11985"	"HaLaN_07595"
"GFH11986"	"HaLaN_07596"
"GFH11987"	"HaLaN_07597"
"GFH11988"	"HaLaN_07598"
"HaLaN_07600"	"HaLaN_07599"
"GFH11989"	"HaLaN_07600"
"GFH11990"	"HaLaN_07601"
"GFH11991"	"HaLaN_07602"
"GFH11992"	"HaLaN_07603"
"GFH11993"	"HaLaN_07604"
"GFH11994"	"HaLaN_07605"
"HaLaN_07607"	"HaLaN_07606"
"GFH11995"	"HaLaN_07607"
"GFH11996"	"HaLaN_07608"
"GFH11997"	"HaLaN_07609"
"GFH11998"	"HaLaN_07610"
"GFH11999"	"HaLaN_07611"
"GFH12000"	"HaLaN_07612"
"GFH12001"	"HaLaN_07613"
"GFH12002"	"HaLaN_07614"
"HaLaN_07616"	"HaLaN_07615"
"GFH12003"	"HaLaN_07616"
"GFH12004"	"HaLaN_07617"
"GFH12005"	"HaLaN_07618"
"HaLaN_07620"	"HaLaN_07619"
"GFH12006"	"HaLaN_07620"
"HaLaN_07622"	"HaLaN_07621"
"GFH12007"	"HaLaN_07622"
"HaLaN_07624"	"HaLaN_07623"
"GFH12008"	"HaLaN_07624"
"GFH12009"	"HaLaN_07625"
"GFH12010"	"HaLaN_07626"
"GFH12011"	"HaLaN_07627"
"HaLaN_07629"	"HaLaN_07628"
"GFH12012"	"HaLaN_07629"
"GFH12013"	"HaLaN_07630"
"GFH12014"	"HaLaN_07631"
"GFH12015"	"HaLaN_07632"
"GFH12016"	"HaLaN_07633"
"GFH12017"	"HaLaN_07634"
"GFH12018"	"HaLaN_07635"
"GFH12019"	"HaLaN_07636"
"HaLaN_07638"	"HaLaN_07637"
"GFH12020"	"HaLaN_07638"
"GFH12021"	"HaLaN_07639"
"GFH12022"	"HaLaN_07640"
"GFH12023"	"HaLaN_07641"
"GFH12024"	"HaLaN_07642"
"HaLaN_07644"	"HaLaN_07643"
"GFH12025"	"HaLaN_07644"
"HaLaN_07646"	"HaLaN_07645"
"GFH12026"	"HaLaN_07646"
"GFH12027"	"HaLaN_07647"
"GFH12028"	"HaLaN_07648"
"GFH12029"	"HaLaN_07649"
"GFH12030"	"HaLaN_07650"
"HaLaN_07652"	"HaLaN_07651"
"GFH12031"	"HaLaN_07652"
"HaLaN_07654"	"HaLaN_07653"
"GFH12032"	"HaLaN_07654"
"GFH12033"	"HaLaN_07655"
"GFH12034"	"HaLaN_07656"
"GFH12035"	"HaLaN_07657"
"HaLaN_07659"	"HaLaN_07658"
"HaLaN_07660"	"HaLaN_07659"
"GFH12036"	"HaLaN_07660"
"GFH12037"	"HaLaN_07661"
"GFH12038"	"HaLaN_07662"
"GFH12039"	"HaLaN_07663"
"GFH12040"	"HaLaN_07664"
"GFH12041"	"HaLaN_07665"
"GFH12042"	"HaLaN_07666"
"GFH12043"	"HaLaN_07667"
"GFH12044"	"HaLaN_07668"
"GFH12045"	"HaLaN_07669"
"GFH12046"	"HaLaN_07670"
"GFH12047"	"HaLaN_07671"
"GFH12048"	"HaLaN_07672"
"GFH12049"	"HaLaN_07673"
"GFH12050"	"HaLaN_07674"
"GFH12051"	"HaLaN_07675"
"HaLaN_07677"	"HaLaN_07676"
"HaLaN_07678"	"HaLaN_07677"
"GFH12052"	"HaLaN_07678"
"GFH12053"	"HaLaN_07679"
"GFH12054"	"HaLaN_07680"
"GFH12055"	"HaLaN_07681"
"GFH12056"	"HaLaN_07682"
"GFH12057"	"HaLaN_07683"
"GFH12058"	"HaLaN_07684"
"HaLaN_07686"	"HaLaN_07685"
"GFH12059"	"HaLaN_07686"
"GFH12060"	"HaLaN_07687"
"GFH12061"	"HaLaN_07688"
"GFH12062"	"HaLaN_07689"
"GFH12063"	"HaLaN_07690"
"GFH12064"	"HaLaN_07691"
"GFH12065"	"HaLaN_07692"
"HaLaN_07694"	"HaLaN_07693"
"GFH12066"	"HaLaN_07694"
"GFH12067"	"HaLaN_07695"
"GFH12068"	"HaLaN_07696"
"GFH12069"	"HaLaN_07697"
"GFH12070"	"HaLaN_07698"
"GFH12071"	"HaLaN_07699"
"GFH12072"	"HaLaN_07700"
"GFH12073"	"HaLaN_07701"
"GFH12074"	"HaLaN_07702"
"GFH12075"	"HaLaN_07703"
"GFH12076"	"HaLaN_07704"
"GFH12077"	"HaLaN_07705"
"GFH12078"	"HaLaN_07706"
"GFH12079"	"HaLaN_07707"
"GFH12080"	"HaLaN_07708"
"GFH12081"	"HaLaN_07709"
"GFH12082"	"HaLaN_07710"
"GFH12083"	"HaLaN_07711"
"GFH12084"	"HaLaN_07712"
"GFH12085"	"HaLaN_07713"
"GFH12086"	"HaLaN_07714"
"GFH12087"	"HaLaN_07715"
"GFH12088"	"HaLaN_07716"
"GFH12089"	"HaLaN_07717"
"GFH12090"	"HaLaN_07718"
"GFH12091"	"HaLaN_07719"
"GFH12092"	"HaLaN_07720"
"GFH12093"	"HaLaN_07721"
"GFH12094"	"HaLaN_07722"
"GFH12095"	"HaLaN_07723"
"GFH12096"	"HaLaN_07724"
"GFH12097"	"HaLaN_07725"
"GFH12098"	"HaLaN_07726"
"GFH12099"	"HaLaN_07727"
"GFH12100"	"HaLaN_07728"
"GFH12101"	"HaLaN_07729"
"GFH12102"	"HaLaN_07730"
"HaLaN_07732"	"HaLaN_07731"
"GFH12103"	"HaLaN_07732"
"GFH12104"	"HaLaN_07733"
"GFH12105"	"HaLaN_07734"
"GFH12106"	"HaLaN_07735"
"GFH12107"	"HaLaN_07736"
"GFH12108"	"HaLaN_07737"
"GFH12109"	"HaLaN_07738"
"GFH12110"	"HaLaN_07739"
"GFH12111"	"HaLaN_07740"
"GFH12112"	"HaLaN_07741"
"HaLaN_07743"	"HaLaN_07742"
"HaLaN_07744"	"HaLaN_07743"
"GFH12113"	"HaLaN_07744"
"GFH12114"	"HaLaN_07745"
"GFH12115"	"HaLaN_07746"
"GFH12116"	"HaLaN_07747"
"GFH12117"	"HaLaN_07748"
"HaLaN_07750"	"HaLaN_07749"
"GFH12118"	"HaLaN_07750"
"GFH12119"	"HaLaN_07751"
"GFH12120"	"HaLaN_07752"
"GFH12121"	"HaLaN_07753"
"GFH12122"	"HaLaN_07754"
"GFH12123"	"HaLaN_07755"
"GFH12124"	"HaLaN_07756"
"GFH12125"	"HaLaN_07757"
"GFH12126"	"HaLaN_07758"
"GFH12127"	"HaLaN_07759"
"GFH12128"	"HaLaN_07760"
"GFH12129"	"HaLaN_07761"
"HaLaN_07763"	"HaLaN_07762"
"GFH12130"	"HaLaN_07763"
"GFH12131"	"HaLaN_07764"
"GFH12132"	"HaLaN_07765"
"GFH12133"	"HaLaN_07766"
"GFH12134"	"HaLaN_07767"
"GFH12135"	"HaLaN_07768"
"GFH12136"	"HaLaN_07769"
"GFH12137"	"HaLaN_07770"
"GFH12138"	"HaLaN_07771"
"GFH12139"	"HaLaN_07772"
"GFH12140"	"HaLaN_07773"
"GFH12141"	"HaLaN_07774"
"HaLaN_07776"	"HaLaN_07775"
"GFH12142"	"HaLaN_07776"
"HaLaN_07778"	"HaLaN_07777"
"GFH12143"	"HaLaN_07778"
"GFH12144"	"HaLaN_07779"
"GFH12145"	"HaLaN_07780"
"GFH12146"	"HaLaN_07781"
"GFH12147"	"HaLaN_07782"
"HaLaN_07784"	"HaLaN_07783"
"GFH12148"	"HaLaN_07784"
"GFH12149"	"HaLaN_07785"
"GFH12150"	"HaLaN_07786"
"GFH12151"	"HaLaN_07787"
"GFH12152"	"HaLaN_07788"
"GFH12153"	"HaLaN_07789"
"GFH12154"	"HaLaN_07790"
"GFH12155"	"HaLaN_07791"
"GFH12156"	"HaLaN_07792"
"GFH12157"	"HaLaN_07793"
"GFH12158"	"HaLaN_07794"
"GFH12159"	"HaLaN_07795"
"GFH12160"	"HaLaN_07796"
"GFH12161"	"HaLaN_07797"
"GFH12162"	"HaLaN_07798"
"GFH12163"	"HaLaN_07799"
"GFH12164"	"HaLaN_07800"
"HaLaN_07802"	"HaLaN_07801"
"GFH12165"	"HaLaN_07802"
"GFH12166"	"HaLaN_07803"
"GFH12167"	"HaLaN_07804"
"GFH12168"	"HaLaN_07805"
"GFH12169"	"HaLaN_07806"
"GFH12170"	"HaLaN_07807"
"GFH12171"	"HaLaN_07808"
"GFH12172"	"HaLaN_07809"
"GFH12173"	"HaLaN_07810"
"GFH12174"	"HaLaN_07811"
"GFH12175"	"HaLaN_07812"
"GFH12176"	"HaLaN_07813"
"GFH12177"	"HaLaN_07814"
"GFH12178"	"HaLaN_07815"
"HaLaN_07817"	"HaLaN_07816"
"GFH12179"	"HaLaN_07817"
"GFH12180"	"HaLaN_07818"
"GFH12181"	"HaLaN_07819"
"GFH12182"	"HaLaN_07820"
"GFH12183"	"HaLaN_07821"
"GFH12184"	"HaLaN_07822"
"GFH12185"	"HaLaN_07823"
"GFH12186"	"HaLaN_07824"
"GFH12187"	"HaLaN_07825"
"GFH12188"	"HaLaN_07826"
"GFH12189"	"HaLaN_07827"
"GFH12190"	"HaLaN_07828"
"GFH12191"	"HaLaN_07829"
"GFH12192"	"HaLaN_07830"
"GFH12193"	"HaLaN_07831"
"GFH12194"	"HaLaN_07832"
"GFH12195"	"HaLaN_07833"
"GFH12196"	"HaLaN_07834"
"GFH12197"	"HaLaN_07835"
"GFH12198"	"HaLaN_07836"
"GFH12199"	"HaLaN_07837"
"HaLaN_07839"	"HaLaN_07838"
"GFH12200"	"HaLaN_07839"
"GFH12201"	"HaLaN_07840"
"GFH12202"	"HaLaN_07841"
"GFH12203"	"HaLaN_07842"
"GFH12204"	"HaLaN_07843"
"GFH12205"	"HaLaN_07844"
"GFH12206"	"HaLaN_07845"
"GFH12207"	"HaLaN_07846"
"GFH12208"	"HaLaN_07847"
"HaLaN_07849"	"HaLaN_07848"
"GFH12209"	"HaLaN_07849"
"GFH12210"	"HaLaN_07850"
"GFH12211"	"HaLaN_07851"
"GFH12212"	"HaLaN_07852"
"GFH12213"	"HaLaN_07853"
"GFH12214"	"HaLaN_07854"
"GFH12215"	"HaLaN_07855"
"GFH12216"	"HaLaN_07856"
"HaLaN_07858"	"HaLaN_07857"
"GFH12217"	"HaLaN_07858"
"GFH12218"	"HaLaN_07859"
"GFH12219"	"HaLaN_07860"
"GFH12220"	"HaLaN_07861"
"GFH12221"	"HaLaN_07862"
"GFH12222"	"HaLaN_07863"
"GFH12223"	"HaLaN_07864"
"GFH12224"	"HaLaN_07865"
"GFH12225"	"HaLaN_07866"
"GFH12226"	"HaLaN_07867"
"GFH12227"	"HaLaN_07868"
"GFH12228"	"HaLaN_07869"
"HaLaN_07871"	"HaLaN_07870"
"GFH12229"	"HaLaN_07871"
"GFH12230"	"HaLaN_07872"
"GFH12231"	"HaLaN_07873"
"GFH12232"	"HaLaN_07874"
"GFH12233"	"HaLaN_07875"
"GFH12234"	"HaLaN_07876"
"GFH12235"	"HaLaN_07877"
"GFH12236"	"HaLaN_07878"
"GFH12237"	"HaLaN_07879"
"GFH12238"	"HaLaN_07880"
"GFH12239"	"HaLaN_07881"
"GFH12240"	"HaLaN_07882"
"HaLaN_07884"	"HaLaN_07883"
"HaLaN_07885"	"HaLaN_07884"
"GFH12241"	"HaLaN_07885"
"GFH12242"	"HaLaN_07886"
"GFH12243"	"HaLaN_07887"
"HaLaN_07889"	"HaLaN_07888"
"GFH12244"	"HaLaN_07889"
"GFH12245"	"HaLaN_07890"
"GFH12246"	"HaLaN_07891"
"GFH12247"	"HaLaN_07892"
"GFH12248"	"HaLaN_07893"
"GFH12249"	"HaLaN_07894"
"HaLaN_07896"	"HaLaN_07895"
"GFH12250"	"HaLaN_07896"
"GFH12251"	"HaLaN_07897"
"GFH12252"	"HaLaN_07898"
"HaLaN_07900"	"HaLaN_07899"
"GFH12253"	"HaLaN_07900"
"GFH12254"	"HaLaN_07901"
"GFH12255"	"HaLaN_07902"
"GFH12256"	"HaLaN_07903"
"HaLaN_07905"	"HaLaN_07904"
"GFH12257"	"HaLaN_07905"
"GFH12258"	"HaLaN_07906"
"GFH12259"	"HaLaN_07907"
"GFH12260"	"HaLaN_07908"
"GFH12261"	"HaLaN_07909"
